STUDENTID,ACADYEAR,SEMESTER,CAMPUSID,COURSEID,CAMPUSNAME,CURRIC,COURSENAME,SECTIONGROUP,CREDIT
329210,2552,1,2,TH161,RANGSIT,521,THAI USAGE,90006,3
329210,2552,1,2,TU154,RANGSIT,521,FOUNDATION OF MATHEMATICS,70001,3
329211,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329211,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329211,2555,1,2,CS489,RANGSIT,521,SELECTED TOPICS IN SOFTWARE ENGINEERING,100001,3
329211,2555,1,2,SW365,RANGSIT,521,FAMILY LIFE  SEX EDUCATION AND ETHICS,820001,3
329212,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329212,2555,1,2,CS387,RANGSIT,521,WEB APPLICATION AND ENTERPRISE PROGRAMS,30001,3
329213,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329213,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,870001,3
329213,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329213,2552,2,2,TU130,RANGSIT,521,INTEGRATED SCIENCES AND TECHNOLOGY,230001,3
329213,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50001,3
329213,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329213,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
329213,2553,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40001,3
329213,2553,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
329213,2553,1,2,EL295,RANGSIT,521,ACADEMIC ENGLISH 1,70002,3
329213,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329214,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329215,2555,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,30001,3
329216,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329216,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329216,2554,1,2,JC200,RANGSIT,521,INTRODUCTION TO COMMUNICATION,810001,3
329216,2555,1,2,HO201,RANGSIT,521,PRINCIPLES OF MANAGEMENT,20001,3
329216,2555,2,2,TU116,RANGSIT,521,MAN AND ARTS : VISUAL ART  MUSIC AND PERFORMING ARTS,780001,3
329217,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40001,3
329218,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329218,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329218,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329219,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329219,2554,2,2,CS286,RANGSIT,521,MATHEMATICS AND PROFESSIONAL PRACTICES FOR SOFTWARE ENGINEERING,100001,3
329219,2555,2,2,PC286,RANGSIT,521,INTRODUCTION TO ASTRONOMY,60001,3
329221,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329221,2552,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
329221,2552,2,2,TU110,RANGSIT,521,INTEGRATED HUMANITIES,320001,3
329221,2553,1,2,CS213,RANGSIT,521,DATA STRUCTURES,50002,3
329221,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329221,2553,1,2,CS222,RANGSIT,521,PROGRAMMING LANGUAGES AND PARADIGMS,910001,3
329221,2553,1,2,CS223,RANGSIT,521,COMPUTER ORGANIZATION AND ARCHITECTURE,40002,3
329221,2553,1,2,CS284,RANGSIT,521,INTRODUCTION TO SOFTWARE ENGINEERING,900001,3
329221,2553,1,2,EL295,RANGSIT,521,ACADEMIC ENGLISH 1,70002,3
329221,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329221,2553,1,2,MA332,RANGSIT,521,LINEAR ALGEBRA,30001,3
329222,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40002,3
329222,2554,1,2,CS395,RANGSIT,521,COMPUTER GRAPHICS,90001,3
329223,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329223,2553,2,2,AT316,RANGSIT,521,INDUSTRIAL AND POWER PLANTS,60001,3
329226,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329226,2554,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
329229,2555,1,2,CS489,RANGSIT,521,SELECTED TOPICS IN SOFTWARE ENGINEERING,100001,3
329230,2554,1,2,CS409,RANGSIT,521,SELECTED TOPICS IN COMPUTER SCIENCE,830001,3
329231,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329232,2553,1,2,CS214,RANGSIT,521,SOCIAL AND PROFESSIONAL ETHICS,1,1
329232,2553,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329232,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329232,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329232,2554,1,2,MA212,RANGSIT,521,CALCULUS 2,30001,3
329232,2554,2,2,CS447,RANGSIT,521,OPERATING SYSTEM 2,90001,3
329232,2555,2,2,CS447,RANGSIT,521,OPERATING SYSTEM 2,90001,3
329232,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
329233,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329233,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329233,2553,2,2,DM201,RANGSIT,521,INTRODUCTION TO WESTERN THEATRE AND DRAMA,810001,3
329233,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329233,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40002,3
329233,2554,1,2,CS289,RANGSIT,521,SOFTWARE PROCESS AND QUALITY ASSURANCE,90001,3
329234,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329234,2553,2,2,ST216,RANGSIT,521,STATISTICS  FOR  SOCIAL  SCIENCE 1,40002,3
329234,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
329235,2552,2,2,PY228,RANGSIT,521,PSYCHOLOGY OF INTERPERSONAL RELATIONS,10001,3
329235,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329235,2554,1,2,CS314,RANGSIT,521,THEORY OF COMPUTATION,40001,3
329235,2555,1,2,CS489,RANGSIT,521,SELECTED TOPICS IN SOFTWARE ENGINEERING,100001,3
329235,2555,2,2,EL202,RANGSIT,521,ENGLISH FOR WORK,80002,3
329235,2555,2,2,JC201,RANGSIT,521,LAW AND ETHICS OF MASS COMMUNICATION,540001,3
329236,2552,1,2,CS102,RANGSIT,521,COMPUTER PROGRAMMING FUNDAMENTALS,20302,4
329236,2552,1,2,TU154,RANGSIT,521,FOUNDATION OF MATHEMATICS,70001,3
329236,2552,2,2,TU153,RANGSIT,521,GENERAL CONCEPT OF COMPUTER,230002,3
329237,2552,2,2,MA211,RANGSIT,521,CALCULUS 1,90001,3
329237,2552,2,2,TU120,RANGSIT,521,INTEGRATED SOCIAL SCIENCES,830001,3
329237,2553,1,2,MA211,RANGSIT,521,CALCULUS 1,820001,3
329237,2553,2,2,ES356,RANGSIT,521,ECO-TOURISM,810002,3
329238,2552,1,2,CS101,RANGSIT,521,DISCRETE STRUCTURES,10001,3
