"CLASSSTATUS;""CAMPUSID"";""CAMPUSNAME"";""ACADYEAR"";""SEMESTER"";""COURSEID"";""CURRIC"";""COURSENAME"";""CREDIT"";""SECTIONGROUP"";""ENROLLAMOUNT""",
"W;2;""RANGSIT"";2552;2;""SC173"";""471"";""FUNDAMENTAL CHEMISTRY   LABORATORY"";1;""650001"";55",
"W;2;""RANGSIT"";2552;2;""SC173"";""521"";""FUNDAMENTAL CHEMISTRY   LABORATORY"";1;""650001"";16",
"W;2;""RANGSIT"";2552;2;""SC185"";""471"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";25",
"W;2;""RANGSIT"";2552;2;""SC185"";""521"";""GENERAL PHYSICS  LABORATORY"";1;""650001"";65",
"W;2;""RANGSIT"";2552;2;""ST216"";""471"";""STATISTICS  FOR  SOCIAL  SCIENCE 1"";3;""650001"";20",
"W;2;""RANGSIT"";2552;2;""ST217"";""471"";""STATISTICS  FOR  SOCIAL  SCIENCE 2"";3;""650001"";22",
"W;2;""RANGSIT"";2552;2;""SW211"";""471"";""ETHICS AND HUMAN DIGNITY"";3;""650001"";44",
"W;2;""RANGSIT"";2552;2;""TU120"";""471"";""INTEGRATED SOCIAL SCIENCES"";3;""650001"";1",
"W;2;""RANGSIT"";2552;2;""TU120"";""521"";""INTEGRATED SOCIAL SCIENCES"";3;""650001"";83",
"W;2;""RANGSIT"";2552;3;""CS111"";""471"";""OBJECT-ORIENTED PROGRAMMING"";4;""000001"";0",
"W;2;""RANGSIT"";2552;3;""CS111"";""521"";""OBJECT-ORIENTED PROGRAMMING"";4;""000001"";2",
"W;2;""RANGSIT"";2552;3;""CS492"";""401"";""SPECIAL TOPICS 2"";4;""000001"";1",
"W;2;""RANGSIT"";2552;3;""EL172"";""471"";""ENGLISH COURSE 3"";3;""650001"";2",
"W;2;""RANGSIT"";2552;3;""EL172"";""521"";""ENGLISH COURSE 3"";3;""650001"";16",
"W;2;""RANGSIT"";2552;3;""MA211"";""471"";""CALCULUS 1"";3;""650001"";23",
"W;2;""RANGSIT"";2552;3;""MA211"";""521"";""CALCULUS 1"";3;""650001"";39",
"W;2;""RANGSIT"";2552;3;""MA212"";""472"";""CALCULUS 2"";3;""650001"";32",
"W;2;""RANGSIT"";2552;3;""MA212"";""521"";""CALCULUS 2"";3;""650001"";2",
"W;2;""RANGSIT"";2552;3;""MA332"";""471"";""LINEAR ALGEBRA"";3;""650001"";47",
"W;2;""RANGSIT"";2552;3;""ST217"";""471"";""STATISTICS  FOR  SOCIAL  SCIENCE 2"";3;""650001"";58",
"W;2;""RANGSIT"";2552;3;""SW335"";""471"";""SOCIAL PROJECT FORMULATION AND MANAGEMENT"";3;""650001"";34",
"W;2;""RANGSIT"";2552;3;""SW335"";""521"";""SOCIAL PROJECT FORMULATION AND MANAGEMENT"";3;""650001"";50",
"W;2;""RANGSIT"";2553;1;""AT309"";""471"";""	RICE AND PRODUCTION TECHNOLOGY"";3;""650001"";11",
